date,era,picks,wins,nr,unmatched,wo_pl,wo_cum,ew_pl,ew_cum,bsp_pl,bsp_cum,bsp_cov
2026-05-01,backfill,81,17,3,0,16.49,0.00,5.56,0.00,-8.98,0.00,81
2026-05-02,backfill,95,11,9,4,-48.49,0.00,-39.79,0.00,-48.24,0.00,95
2026-05-03,backfill,64,13,8,0,-12.23,0.00,-9.89,0.00,-22.43,0.00,64
2026-05-04,backfill,103,19,11,0,9.14,0.00,-2.48,0.00,8.25,0.00,103
2026-05-05,backfill,61,7,3,0,-44.18,0.00,-31.57,0.00,-42.61,0.00,61
2026-05-06,backfill,58,7,6,0,-30.81,0.00,-20.69,0.00,-37.13,0.00,58
2026-05-07,backfill,70,16,6,0,18.84,0.00,13.74,0.00,18.28,0.00,70
2026-05-08,backfill,93,15,5,0,7.76,0.00,2.72,0.00,-2.86,0.00,93
2026-05-09,backfill,110,16,10,0,-26.76,0.00,-13.39,0.00,-38.32,0.00,110
2026-05-10,backfill,38,6,4,0,21.38,0.00,25.45,0.00,-23.44,0.00,38
2026-05-11,backfill,74,14,6,0,61.75,0.00,30.02,0.00,-13.72,0.00,74
2026-05-12,backfill,72,19,2,0,22.88,0.00,16.48,0.00,13.02,0.00,71
2026-05-13,backfill,66,13,10,0,24.25,0.00,18.38,0.00,-10.32,0.00,66
2026-05-14,backfill,58,8,4,0,16.29,0.00,5.78,0.00,-14.37,0.00,58
2026-05-15,backfill,75,15,5,0,90.63,0.00,62.81,0.00,-15.57,0.00,75
2026-05-16,backfill,84,15,8,0,-17.24,0.00,-11.62,0.00,25.82,0.00,84
2026-05-17,backfill,49,10,5,0,10.30,0.00,9.08,0.00,-14.44,0.00,49
2026-05-18,backfill,70,12,2,0,15.33,0.00,5.73,0.00,200.44,0.00,70
2026-05-19,backfill,67,15,9,0,62.00,0.00,32.39,0.00,-13.23,0.00,67
2026-05-20,live,64,12,6,0,97.46,97.46,42.03,42.03,-14.11,-14.11,64
2026-05-21,live,77,16,5,0,25.89,123.35,16.55,58.58,-13.24,-27.35,77
2026-05-22,live,67,16,5,0,49.50,172.85,46.80,105.38,11.62,-15.73,67
2026-05-23,live,78,13,6,2,56.14,228.99,33.61,138.99,10.74,-4.99,78
2026-05-24,live,49,12,3,0,32.23,261.22,15.20,154.19,0.00,-4.99,0
2026-05-25,live,72,14,8,0,7.84,269.06,1.09,155.28,-8.84,-13.83,72
2026-05-26,live,77,14,7,0,10.93,279.99,1.86,157.14,-3.61,-17.44,77
2026-05-27,live,71,13,5,0,8.49,288.48,0.39,157.53,-27.16,-44.60,71
2026-05-28,live,71,11,5,0,16.54,305.02,4.49,162.02,-22.19,-66.79,71
2026-05-29,live,78,18,0,0,82.06,387.08,53.31,215.33,32.79,-34.00,78
2026-05-30,live,102,16,8,0,-4.43,382.65,-6.03,209.30,-38.28,-72.28,102
2026-05-31,live,66,14,2,0,3.52,386.17,4.84,214.14,6.22,-66.06,66
2026-06-01,live,71,19,3,0,77.61,463.78,49.22,263.36,50.31,-15.75,71
2026-06-02,live,47,11,3,0,31.01,494.79,25.78,289.14,9.70,-6.05,47
2026-06-03,live,51,10,7,0,-20.32,474.47,-10.89,278.25,-16.87,-22.92,51
2026-06-04,live,68,17,12,0,49.00,523.47,32.47,310.72,6.50,-16.42,68
2026-06-05,live,106,23,8,0,11.39,534.86,2.98,313.70,18.29,1.87,106
2026-06-06,live,100,14,10,0,-29.56,505.30,-27.95,285.75,-40.56,-38.69,99
2026-06-07,live,52,9,6,0,-0.76,504.54,2.85,288.60,2.57,-36.12,52
2026-06-08,live,59,10,11,0,-11.00,493.54,-4.30,284.30,-21.93,-58.05,59
2026-06-09,live,65,10,1,0,25.22,518.76,37.34,321.64,-1.63,-59.68,65
2026-06-10,live,55,13,11,0,10.79,529.55,16.32,337.96,11.58,-48.10,55
2026-06-11,live,58,12,12,0,-19.99,509.56,-11.72,326.24,0.00,-48.10,0
2026-06-12,live,76,12,8,0,-21.38,488.18,-12.00,314.24,0.00,-48.10,0
